adjudication_id,mdr_report_keys,mdr_report_count,manufacturer,brand_model,mechanism_class,adjudication_status,clinical_device_phenotype
BAT2026-001,25026429,1,BOSTON SCIENTIFIC CORPORATION,DYNAGEN EL ICD VR D150,INTERNAL_SHORT_UNSPECIFIED,PROBABLE_DEVICE_DATA,LOW_VOLTAGE_ALERT
BAT2026-002,24345105,1,BIOTRONIK SE & CO. KG,RIVACOR 5 VR-T DX DF4 PROMRI 429564,INTERNAL_INSULATION_DAMAGE_SHORT,CONFIRMED_CELL_MECHANISM,ERI_EOS
BAT2026-003,24225430,1,MEDTRONIC PUERTO RICO OPERATIONS CO.,VISIA AF MRI XT VR SURESCAN DVFB1D4,LITHIUM_PLATING_SHORT,CONFIRMED_CELL_MECHANISM,PREMATURE_DEPLETION
BAT2026-004,24589841,1,MEDTRONIC PUERTO RICO OPERATIONS CO.,VISIA AF MRI XT VR SURESCAN DVFB1D1,LITHIUM_PLATING_SHORT,CONFIRMED_CELL_MECHANISM,PREMATURE_DEPLETION
BAT2026-005,25322557,1,BIOTRONIK SE & CO. KG,ACTICOR 7 VR-T DX DF4 PROMRI 429525,INTERNAL_INSULATION_DAMAGE_SHORT,CONFIRMED_CELL_MECHANISM,ERI_EOS
BAT2026-006,25461511,1,MEDTRONIC PUERTO RICO OPERATIONS CO.,VISIA AF XT VR DVAB1D4,LITHIUM_PLATING_SHORT,CONFIRMED_CELL_MECHANISM,PREMATURE_DEPLETION;ERI_EOS
BAT2026-007,24003960,1,BIOTRONIK SE & CO. KG,IFORIA 5 VR-T PROMRI DF-1 390119,INTERNAL_SELF_DEPLETION_UNSPECIFIED,CONFIRMED_CELL_MECHANISM,ERI_EOS
BAT2026-008,24054114,1,BIOTRONIK SE & CO. KG,RIVACOR 7 HF-T QP DF4 IS4 PROMRI 429532,INTERNAL_INSULATION_DAMAGE_SHORT,CONFIRMED_CELL_MECHANISM,ERI_EOS
BAT2026-009,24627280,1,MEDTRONIC EUROPE SARL,EVERA¿ S VR DVBC3D4,LITHIUM_PLATING_SHORT,CONFIRMED_CELL_MECHANISM,PREMATURE_DEPLETION
BAT2026-010,23981516,1,MEDTRONIC PUERTO RICO OPERATIONS CO.,EVERA MRI XT DR SURESCAN DDMB1D1,LITHIUM_PLATING_SHORT,CONFIRMED_CELL_MECHANISM,PREMATURE_DEPLETION;NO_INTERROGATION
